 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;;Pole powierzchni obszaru pom. [mm2];Powierzchnia porów;Porowatość [%];Średnia powierzchnia wady [mm2];odch. Stand. Średniej pow. Wady [mm2];Największa wada [mm2];Maks. Średnica fereta [mm];Średnia śr. Fereta [mm];Odch. Stand. Średniej średnicy Fereta [mm];Średnie podobieństwo do okręgu
177;0.001;0.74;0.061;9.988;2.689;33.69;0.027;2.382;0.42;0.892;;;;;;;;;;;
178;0.00001161;1;0.005;9.976;2.672;153.435;0.002;2;0.5;1;;;;;;;;;;;
179;0.00004645;1;0.011;6.292;2.713;153.435;0.005;2;0.5;1;;;;;;;;;;;
180;0.0007897;0.66;0.051;lut.74;2.723;171.87;0.023;2.367;0.423;0.872;;;;;;;;;;;
181;0.001;0.469;0.063;0.952;2.807;171.254;0.039;1.595;0.627;0.762;;;;;;;;;;;
182;0.00004064;1;0.009;9.598;2.814;123.69;0.007;1.069;0.936;0.875;;;;;;;;;;;
183;0.00001742;0.809;0.008;4.672;2.855;108.435;0.002;3;0.333;1;;;;;;;;;;;
184;0.0001103;0.853;0.016;2.306;2.875;63.435;0.012;1.421;0.704;0.826;;;;;;;;;;;
185;0.00001161;1;0.005;10.205;2.911;116.565;0.002;2;0.5;1;;;;;;;;;;;
186;0.00002903;0.641;0.012;4.612;2.913;143.13;0.005;lut.98;0.336;0.625;;;;;;;;;;;
187;0.0000929;0.719;0.016;4.602;lut.92;153.435;0.011;sty.75;0.571;0.744;;;;;;;;;;;
188;0.0003193;0.858;0.026;10.019;2.964;131.186;0.019;1.424;0.702;0.866;;;;;;;;;;;
189;0.00003484;1;0.009;6.284;3.077;33.69;0.007;1.291;0.775;0.8;;;;;;;;;;;
190;0.00001161;1;0.005;0.718;3.094;116.565;0.002;2;0.5;1;;;;;;;;;;;
191;0.001;0.795;0.045;2.793;3.145;64.799;0.038;1.182;0.846;0.887;;;;;;;;;;;
192;0.00008129;0.838;0.015;8.805;3.178;161.565;0.007;1.885;0.53;0.875;;;;;;;;;;;
193;0.0005342;0.873;0.033;4.002;3.258;162.897;0.022;sty.43;0.699;0.934;;;;;;;;;;;
194;0.0001684;0.743;0.021;2.684;mar.27;20.556;0.014;1.185;0.844;0.795;;;;;;;;;;;
195;0.0001277;0.741;0.019;2.598;3.275;97.125;0.01;sty.75;0.571;0.846;;;;;;;;;;;
196;0.001;0.876;0.045;2.557;3.361;53.746;0.034;1.263;0.792;0.915;;;;;;;;;;;
197;0.00004645;1;0.012;9.239;3.619;143.13;0.007;1.939;0.516;0.842;;;;;;;;;;;
198;0.003;0.803;0.068;3.581;3.677;34.824;0.057;1.137;0.879;0.913;;;;;;;;;;;
199;0.00005226;0.923;0.012;2.364;3.643;53.13;0.007;1.539;0.65;0.9;;;;;;;;;;;
200;0.00009871;1;0.014;04.kwi;3.639;120.964;0.01;1.276;0.784;0.919;;;;;;;;;;;
201;0.003;0.704;0.088;4.402;3.754;52.815;0.052;1.854;0.539;0.893;;;;;;;;;;;
202;0.00001742;1;0.007;6.267;mar.68;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
203;0.0008361;0.899;0.04;1.116;3.735;72.646;0.029;1.369;0.73;0.914;;;;;;;;;;;
204;0.00001161;1;0.005;4.467;3.704;153.435;0.002;2;0.5;1;;;;;;;;;;;
205;0.00001742;1;0.007;08.lip;3.708;135;0.005;1.464;0.683;0.857;;;;;;;;;;;
206;0.00003484;1;0.01;9.769;mar.73;45;0.006;1.809;0.553;0.8;;;;;;;;;;;
207;0.004;0.654;0.097;1.222;3.737;175.711;0.064;1.506;0.664;0.839;;;;;;;;;;;
208;0.0005168;0.368;0.047;1.159;mar.73;113.962;0.028;1.745;0.573;0.599;;;;;;;;;;;
209;0.00003484;0.615;0.013;1.166;3.733;158.199;0.005;3.306;0.302;0.75;;;;;;;;;;;
210;0.00002903;1;0.009;1.147;3.757;123.69;0.005;1.553;0.644;0.909;;;;;;;;;;;
211;0.000151;0.854;0.02;1.183;3.781;45;0.012;sty.63;0.614;0.852;;;;;;;;;;;
212;0.0004239;0.907;0.027;5.725;3.795;116.565;0.024;1.063;0.94;0.907;;;;;;;;;;;
213;0.0008303;0.827;0.042;5.446;3.848;166.759;0.024;1.686;0.593;0.932;;;;;;;;;;;
214;0.00001742;1;0.007;7.272;3.853;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
